"Name","Median_est","Lower","Upper"
"Rafael Nadal",28.3,8,61
"Roger Federer",17.1,3,46
"Stefanos Tsitsipas",17.1,4,44
"Daniil Medvedev",10.6,2,35
"Milos Raonic",9.4,2,30
"Dominic Thiem",8.6,1,29
"Juan Martin del Potro",8.4,1,38
"Andrey Rublev",8,1,29
"Alexander Zverev",5.7,1,23
"Roberto Bautista Agut",5.6,1,23
"Stan Wawrinka",5.1,1,20
"Matteo Berrettini",3.4,0,16
"Jan Lennard Struff",2.9,0,14
"Diego Schwartzman",2,0,12
