"Name","Median_est","Lower","Upper"
"Petra Kvitova",49.2,18,79
"Serena Williams",33.5,9,66
"Simona Halep",29.6,8,66
"Alison Riske",25.6,6,58
"Elena Rybakina",24.3,5,61
"Karolina Pliskova",24.1,6,55
"Elise Mertens",20.6,5,52
"Anett Kontaveit",18.3,4,50
"Caroline Wozniacki",16.9,3,48
"Aryna Sabalenka",15.6,3,42
"Garbine Muguruza",14.7,3,44
"Kiki Bertens",14.4,3,42
"Naomi Osaka",13.7,2,41
"Madison Keys",12.5,2,40
