"Name","Median_est","Lower","Upper"
"Petra Kvitova",42.7,13,78
"Kiki Bertens",39.2,13,74
"Ashleigh Barty",30.7,8,66
"Serena Williams",24.6,5,64
"Elise Mertens",24.4,6,60
"Elena Rybakina",20.6,4,55
"Karolina Pliskova",20.4,4,53
"Anett Kontaveit",19.1,4,52
"Madison Keys",16.3,3,49
"Dayana Yastremska",15.9,3,50
"Maria Sakkari",14.8,2,45
"Garbine Muguruza",14.3,2,45
"Aryna Sabalenka",12.2,2,41
"Bianca Andreescu",11.6,1,48
