"Name","Median_est","Lower","Upper"
"Novak Djokovic",28.1,6,66
"Stefanos Tsitsipas",15.5,3,46
"Dominic Thiem",9.8,1,37
"Milos Raonic",6.7,0,34
"Roger Federer",6.4,1,31
"Matteo Berrettini",4.4,0,23
"Andrey Rublev",2.9,0,20
"Juan Martin del Potro",2.7,0,21
"Alexander Zverev",2.4,0,15
"Jan Lennard Struff",1.8,0,13
"Stan Wawrinka",1.4,0,10
"David Goffin",1.3,0,12
"Diego Schwartzman",1,0,9
"Roberto Bautista Agut",0.7,0,7
